Series,Visitor,Home,Visitor seed,Home seed,Visitor win_pct,Visitor off_rtg,Visitor def_rtg,Visitor net_rtg,Visitor pace,Visitor efg_pct,Visitor ts_pct,Visitor tov_pct,Visitor orb_pct,Visitor drb_pct,Home win_pct,Home off_rtg,Home def_rtg,Home net_rtg,Home pace,Home efg_pct,Home ts_pct,Home tov_pct,Home orb_pct,Home drb_pct
rd1_west,Oklahoma City Thunder,Memphis Grizzlies,1,8,0.829,119.2,106.6,12.7,100.9,0.56,0.593,0.116,0.281,0.704,0.585,117.2,112.6,4.7,103.69,0.554,0.588,0.151,0.33,0.702
rd1_west,Denver Nuggets,Los Angeles Clippers,4,5,0.61,118.9,115.1,3.8,100.67,0.573,0.604,0.14,0.311,0.709,0.61,114.3,109.4,4.9,98.24,0.554,0.589,0.151,0.282,0.734
rd1_west,Los Angeles Lakers,Minnesota Timberwolves,3,6,0.61,115,113.8,1.2,98.34,0.557,0.593,0.142,0.273,0.702,0.598,115.7,110.8,5,97.95,0.554,0.588,0.146,0.3,0.709
rd1_west,Houston Rockets,Golden State Warriors,2,7,0.634,114.9,110.3,4.6,99.03,0.523,0.553,0.14,0.363,0.715,0.585,114.2,111,3.2,99.37,0.536,0.568,0.141,0.314,0.716
rd1_east,Cleveland Cavaliers,Miami Heat,1,8,0.78,121,111.8,9.2,100.31,0.578,0.607,0.131,0.296,0.7,0.451,112.4,112,0.4,97.08,0.544,0.576,0.138,0.263,0.724
rd1_east,Indiana Pacers,Milwaukee Bucks,4,5,0.61,115.4,113.3,2.1,100.76,0.562,0.594,0.13,0.254,0.705,0.585,115.1,112.7,2.4,99.92,0.568,0.598,0.133,0.235,0.725
rd1_east,New York Knicks,Detroit Pistons,3,6,0.622,117.3,113.3,4,97.64,0.556,0.589,0.134,0.305,0.71,0.537,114.6,112.5,2.1,100.27,0.547,0.58,0.147,0.305,0.714
rd1_east,Boston Celtics,Orlando Magic,2,7,0.744,119.5,110.1,9.4,96.59,0.561,0.591,0.122,0.291,0.717,0.5,108.9,109.1,-0.2,96.51,0.51,0.55,0.147,0.302,0.72
rd2_west,,,,,,,,,,,,,,,,,,,,,,,,
rd2_west,,,,,,,,,,,,,,,,,,,,,,,,
rd2_east,,,,,,,,,,,,,,,,,,,,,,,,
rd2_east,,,,,,,,,,,,,,,,,,,,,,,,
rd3_west,,,,,,,,,,,,,,,,,,,,,,,,
rd3_east,,,,,,,,,,,,,,,,,,,,,,,,
championship,,,,,,,,,,,,,,,,,,,,,,,,